Name,Region
Smithfield,Western Suburbs
Spring Farm,South West
St Andrews,South West
St Clair,Western Suburbs
St Helens Park,South West
St Ives,Upper North Shore
St Johns Park,Western Suburbs
St Leonards,Lower North Shore
St Marys,Western Suburbs
St Peters,Inner West
Stanhope Gardens,Western Suburbs
Stanmore,Inner West
Strathfield,Inner West
Summer Hill,Inner West
Surry Hills,Inner East
Sutherland,Sutherland Shire
Sydenham,Inner West
Sylvania,Sutherland Shire
Tamarama,Eastern Suburbs
Taren Point,Sutherland Shire
Telopea,Western Suburbs
Tempe,Inner West
Terrey Hills,Northern Suburbs
Thornleigh,Upper North Shore
Toongabbie,Western Suburbs
Tregear,Western Suburbs
Turramurra,North Shore
Turrella,Southern Suburbs
Ultimo,Sydney City
Vaucluse,Eastern Suburbs
Villawood,Western Suburbs
Wahroonga,Upper North Shore
Waitara,Upper North Shore
Wakeley,Western Suburbs
Wallacia,Western Suburbs
Wareemba,Inner West
Warrawee,Upper North Shore
Warriewood,Northern Beaches
Warwick Farm,Western Suburbs
Waterloo,Inner South
Watsons Bay,Eastern Suburbs
Wattle Grove,Western Suburbs
Waverley,Eastern Suburbs
Waverton,Lower North Shore
Wentworth Point,Inner West
Wentworthville,Western Suburbs
Werrington,Western Suburbs
West Ryde,North Shore
Westleigh,Northern Suburbs
Westmead,Western Suburbs
Wetherill Park,Western Suburbs
Whalan,Western Suburbs
Wheeler Heights,Northern Beaches
Wilberforce,Northern Suburbs
Wiley Park,Western Suburbs
Willmot,Western Suburbs
Willoughby,Lower North Shore
Windsor,Northern Suburbs
Winston Hills,Western Suburbs
Wolli Creek,Southern Suburbs
Wollstonecraft,Lower North Shore
Woodbine,South West
Woodcroft,Western Suburbs
Woodpark,Western Suburbs
Woollahra,Eastern Suburbs
Woolloomooloo,Sydney City
Woolooware,Sutherland Shire
Woronora,Sutherland Shire
Yagoona,Western Suburbs
Yarrawarrah,Sutherland Shire
Yennora,Western Suburbs
Yowie Bay,Sutherland Shire
Zetland,Inner East
North Parramatta,Western Suburbs
South Hurstville,Southern Suburbs
East Lindfield,Upper North Shore
North Epping,North Shore
Sydney,Sydney City
West Pymble,Upper North Shore
Redlands,North Shore
Bonnyrigg,Western Suburbs
North Ryde,Northern Suburbs
Collaroy Plateau,Northern Beaches
Greenfield Park,Western Suburbs
Maroubra Junction,Eastern Suburbs
Clifton Gardens,Lower North Shore
The Ponds,Western Suburbs
North Turramurra,North Shore
Bondi Junction,Eastern Suburbs
Maroubra Beach,Eastern Suburbs
Balmain East,Inner West
North Strathfield,Inner West
Concord West,Inner West
Austral,South West
Ingleside,Northern Beaches
Bondi Beach,Eastern Suburbs
West Pennant Hills,North Shore
Balgowlah North,Northern Beaches
Croydon Park,Inner West
Berowra Heights,Upper North Shore
Oxford Falls,Northern Beaches
Randwick North,Eastern Suburbs
Bilgola Plateau,Northern Beaches
Hurstville South,Southern Suburbs
Glenorie,Hills Shire
Beacon Hill,Northern Beaches
South Coogee,Eastern Suburbs
Croa,Sutherland Shire
North Kellyville,Hills Shire
Beaumont Hills,Hills Shire
North Curl Curl,Northern Beaches
Acacia Gardens,Hills Shire
Grays Point,Sutherland Shire
Dover Heights,Eastern Suburbs
Kellyville Ridge,Hills Shire
Arcadia,Hills Shire
Glenwood Park,Hills Shire
Gymea Bay,Sutherland Shire
Elanora Heights,Northern Beaches
Leichhardt North,Inner West
Georges Hall,South West
Bilpin,Northern Suburbs
Marsden,Western Suburbs
Turramurra South,Upper North Shore
Woolwich,Lower North Shore
Turramurra North,Upper North Shore
Avalon,Northern Beaches
